English	 Japanese
~th day of the month (For the rest)	～にち　（日）
What day of the month	なんにち　（何日）
When	いつ
Birthday	たんじょうび　（誕生日）
Yes, it is	そうですね
Thank you very much	どうもありがとうございます。
You're Welcome	どういたしまして
Platform ~	～ばんせん　（番線）
Next	つぎの　（次の）
Local (Train)	ふつう　（普通）
Rapid	きゅうこう　（急行）
Express	とっきゅう　（特急）
Eat	たべます　（食べます）
Drink	のみます　（飲みます）
Smoke	すいます　（吸います）
See / Look at / Watch	みます　（見ます）
Hear / Listen	ききます　（聞きます）
Read	よみまし　（読みます）
Write	かきます　（書きます）
Buy	かいます　（買います）
Take	とります　（撮ります）
Do / Play	します
Meet (Someone)	あいます　（会います）
A meal / Cooked rice	ごはん　
Breakfast	あさごはん　（朝ごはん）
Lunch	ひるごはん　（昼ごはん）
Supper	ばんごはん　（晩ごはん）
Bread	パン
Egg	たまご　（卵）
Meat	にく　（肉）
Fish	さかな　（魚）
Vegetable	やさい　（野菜）
Fruit	くだもの　（果物）
Water	みず（水）
Tea	おちゃ　（お茶）
Green tea	おちゃ　（お茶）
Black Tea	こちゃ　（紅茶）
Milk	ぎゅうにゅう/ミルク　（牛乳）
Juice	ジュウス
Beer	ビール
Alcohol / Japanese rice wine	おさけ　（お酒）
Tobacco / Cigerette	たばこ
Letter	てがみ　（手紙）
Report	レポート
Photograph	しゃしん　（写真）
Video (Tape) / Video deck	ビデオ
Shop / Store	みせ　（店）
Garden	にわ　（庭）
Homework	しゅくだい （宿題）
Tennis	テニス
Soccer / Football	サッカー
Cherry Blossom Viewing	おはなみ　（お花見）
What	なに　（何）
Together	いっしょに
A little while / A little bit	ちょっと
Always / Usually	いつも
Sometimes	ときどき　（時々）
After that / And then	それから
Yes	ええ
That's Good	いいですね
I see	わかりました
Yes? (When someone is about to ask you for something)	なんですか　（何ですか）
See you (Tomorrow)	じゃ、またあした　（じゃ、また明日）
Cut / Slice	きります　（切ります）
Send	おくります （送ります）
Give	あげます
Receive	もらいます
Lend	かします　（貸します）
Borrow	かります　（借ります）
Teach	おしえます　（教えます）
Learn	ならいます　（習います）
Make (A telephone call)	かげます
Hand / Arm	て
Chopsticks	はし
Spoon	スプーン
Knife	ナイフ
Fork	フォーク
Scissors	はさみ
Personal Computer	パソコン
Mobile Phone / Cell phone	ケータイ
E-mail	メール
New year's greeting card	ねんがじょう　（年賀状）
Hole Puncher	パンチ
Stapler	ホチキス
Cellophone tape / Scotch tape / Clear adhesive	セロテープ
Rubber / Eraser	けしゴム　（消しゴム）
Paper	かみ　（紙）
Flower / Blosson	はな
Shirt	シャツ
Present / Gift (Katagana)	プレゼント
Luggage / Baggage / Parcel	にもつ　（荷物）
Money	おかね　（お金）
Ticket	きっぷ （切符）
Christmas	クリスマス
(my) Father	ちち　（父）
(my) Mother	はは　（母）
(Someone else's) Father	おとうさん　（お父さん）
(Someone else's) Mother	おかあさん　（お母さん）
Already	もう
Not yet	まだ
From now on / Soon	これから
